"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg vs 0 mg/kg"	"Terrisporobacter"	-1.21709964928191	0.292795927721185	-4.15681891054475	0.000118362225450793	0.0952815914878884
"75 mg/kg vs 0 mg/kg"	"Pseudomonas"	0.910895247070293	0.835820330887725	1.08982183539712	0.280722008297741	1
"75 mg/kg vs 0 mg/kg"	"Olsenella"	-0.614213435824177	0.442113252455064	-1.38926718982848	0.170561066703864	1
"75 mg/kg vs 0 mg/kg"	"Colidextribacter"	-0.823396468076461	0.464557074439363	-1.77243338522	0.0820701610490932	1
"75 mg/kg vs 0 mg/kg"	"Faecalicoccus"	-0.342705907605379	0.221992929995595	-1.54376946874921	0.128594636580502	1
"75 mg/kg vs 0 mg/kg"	"Jeotgalicoccus"	1.30889997067114	0.577291382820271	2.26731250391562	0.0274748859860137	1
"75 mg/kg vs 0 mg/kg"	"Acinetobacter"	2.63325064642744	0.516914366258128	5.0941719137914	4.76277701706985e-06	0.00383403549874123
"75 mg/kg vs 0 mg/kg"	"Christensenellaceae R-7 group"	-2.73790410135358	0.872117536506466	-3.1393751263403	0.00276641960940049	1
"75 mg/kg vs 0 mg/kg"	"Lachnospiraceae XPB1014 group"	-2.47503711516104	0.821518903443588	-3.01275735078809	0.0039632857166367	1
"75 mg/kg vs 0 mg/kg"	"GCA-900066575"	-0.3130394268029	0.312161924141449	-1.0028110496303	0.320508634705307	1
"75 mg/kg vs 0 mg/kg"	"Fournierella"	-0.793354898657988	0.742090648490344	-1.06908084648679	0.289878273896059	1
"75 mg/kg vs 0 mg/kg"	"Asinibacterium"	0.230088401081619	0.190165825522953	1.20993559409994	0.231672584711043	1
"75 mg/kg vs 0 mg/kg"	"Fusobacterium"	-1.40188249191316	0.492019724748341	-2.84924042959904	0.00622723223032587	1
"75 mg/kg vs 0 mg/kg"	"Negativibacillus"	-0.753890768481744	0.448335615838486	-1.68153218671196	0.0985438242231673	1
"75 mg/kg vs 0 mg/kg"	"Megasphaera"	-0.70605265916977	0.325054420760347	-2.17210600464444	0.0343419579092877	1
"75 mg/kg vs 0 mg/kg"	"Anaerosporobacter"	-0.90850060031449	0.323013944383226	-2.81257393407338	0.00687757614114144	1
"75 mg/kg vs 0 mg/kg"	"Porphyromonas"	1.7874894154929	0.530403310814018	3.37005704724884	0.00140796140465995	1
"75 mg/kg vs 0 mg/kg"	"Pygmaiobacter"	-0.440218376873477	0.289447418494475	-1.52089239269508	0.134230923472652	1
"75 mg/kg vs 0 mg/kg"	"Lachnospiraceae NK3A20 group"	-0.530974512126177	0.245828293318414	-2.15994060308763	0.035320149950995	1
"75 mg/kg vs 0 mg/kg"	"Acholeplasma"	0.859596595102599	0.350141228580176	2.45499965424884	0.0174039821298718	1
"75 mg/kg vs 0 mg/kg"	"Facklamia"	0.22756750959074	0.511456239901178	0.444940332793104	0.658174768121867	1
"75 mg/kg vs 0 mg/kg"	"Erysipelotrichaceae UCG-006"	-1.99718121221905	0.772963583818899	-2.58379728880861	0.0125648297406016	1
"75 mg/kg vs 0 mg/kg"	"Candidatus Stoquefichus"	-0.676097124161652	0.370628661085782	-1.82419007256746	0.0737629896839603	1
"75 mg/kg vs 0 mg/kg"	"Barnesiella"	-0.962736789336679	0.465478692174451	-2.06827252358066	0.043509282625374	1
"75 mg/kg vs 0 mg/kg"	"Oscillibacter"	-0.613774447618126	0.342374492989228	-1.79269910634797	0.0787287972149805	1
"75 mg/kg vs 0 mg/kg"	"Globicatella"	-0.269426731974254	0.287109225325733	-0.938411963839135	0.352289747063376	1
"75 mg/kg vs 0 mg/kg"	"Desulfovibrio"	-1.03574488415213	0.729758973638915	-1.41929722218752	0.161667238474313	1
"75 mg/kg vs 0 mg/kg"	"Cerasicoccus"	-0.667940824731405	0.397955342317552	-1.67843160702794	0.0991505137069753	1
"75 mg/kg vs 0 mg/kg"	"Eisenbergiella"	-0.888986008522765	0.541906755299681	-1.64047781251803	0.106828215411461	1
"75 mg/kg vs 0 mg/kg"	"Lachnoclostridium"	-0.79180123109545	0.328830298210203	-2.40793270998798	0.019555369392729	1
"75 mg/kg vs 0 mg/kg"	"Parvimonas"	1.72359830249065	0.545073270904042	3.16214056805967	0.0025910201534706	1
"75 mg/kg vs 0 mg/kg"	"UCG-009"	-0.422409742148991	0.182040203774258	-2.3204200687053	0.0241990767554644	1
"75 mg/kg vs 0 mg/kg"	"NK4A214 group"	-0.775685504614325	0.437008123618187	-1.77499104179592	0.0816420436179726	1
"75 mg/kg vs 0 mg/kg"	"Marvinbryantia"	-0.218391490353546	0.275553795491294	-0.792554825689003	0.431570693157286	1
"75 mg/kg vs 0 mg/kg"	"Moraxella"	0.285624508699854	0.384563866700775	0.742723207851701	0.460928665560105	1
"75 mg/kg vs 0 mg/kg"	"Sharpea"	-0.363662887140982	0.681417841457945	-0.533685596436539	0.595790361562362	1
"75 mg/kg vs 0 mg/kg"	"Fastidiosipila"	1.01283497689046	0.58543700767005	1.73004945642468	0.08944139840174	1
"75 mg/kg vs 0 mg/kg"	"Bilophila"	0.564219360975547	0.29755294237815	1.89619822430961	0.0633908246965865	1
"75 mg/kg vs 0 mg/kg"	"[Clostridium] innocuum group"	-0.682234228435279	0.466639341940813	-1.46201609490914	0.149641285324648	1
"75 mg/kg vs 0 mg/kg"	"Parasutterella"	-0.360448739956095	0.435218176872067	-0.828202403095056	0.411269900454444	1
"75 mg/kg vs 0 mg/kg"	"Rothia"	1.44890186791452	0.437018711661794	3.3154229538707	0.00165600144835921	1
"75 mg/kg vs 0 mg/kg"	"Sutterella"	-0.0626794440005361	0.643422478114309	-0.0974156889641656	0.922763752976526	1
"75 mg/kg vs 0 mg/kg"	"Monoglobus"	-0.417170800965599	0.355384588649229	-1.17385732046292	0.245700177578514	1
"75 mg/kg vs 0 mg/kg"	"Prevotella"	-2.03648973113458	0.740138810455406	-2.75149701970301	0.00810168438661681	1
"75 mg/kg vs 0 mg/kg"	"Salinicoccus"	0.443295050627172	0.389741138637514	1.13740892782547	0.260483466043988	1
"75 mg/kg vs 0 mg/kg"	"Shuttleworthia"	-0.176465933648869	0.36683018141873	-0.481056201445529	0.632456647993707	1
"75 mg/kg vs 0 mg/kg"	"Saccharofermentans"	-2.24515894431969	0.752608777826613	-2.98316869330607	0.0043055006371456	1
"75 mg/kg vs 0 mg/kg"	"Flavonifractor"	-0.587416535472953	0.465488105156682	-1.26193672612801	0.212496876604458	1
"75 mg/kg vs 0 mg/kg"	"Succinivibrio"	-1.70636722079336	0.672522696155886	-2.5372633972755	0.0141506053118557	1
"75 mg/kg vs 0 mg/kg"	"Mogibacterium"	-2.0443897729377	0.758472232251673	-2.69540490212612	0.00939948405077768	1
"75 mg/kg vs 0 mg/kg"	"Enorma"	-0.594861835119687	0.498355999376229	-1.19364838762702	0.237931122252824	1
"75 mg/kg vs 0 mg/kg"	"Burkholderia-Caballeronia-Paraburkholderia"	0.830182062790496	0.420315403413133	1.97514070635784	0.0534706414718947	1
"75 mg/kg vs 0 mg/kg"	"Parabacteroides"	-1.72149414540133	0.543207605709749	-3.16912747043011	0.00253932099124565	1
"75 mg/kg vs 0 mg/kg"	"Oribacterium"	-0.961117674090935	0.620525889784487	-1.54887602582503	0.12736270596189	1
"75 mg/kg vs 0 mg/kg"	"Gemella"	1.13147800238014	0.574575337279285	1.96924220196761	0.054162804634039	1
"75 mg/kg vs 0 mg/kg"	"Merdibacter"	-0.646163992658938	0.439377819464128	-1.47063407398901	0.147302475478007	1
"75 mg/kg vs 0 mg/kg"	"Moryella"	-1.96893026817081	0.601460802504267	-3.27358035631398	0.00187334940667758	1
"75 mg/kg vs 0 mg/kg"	"Mycobacterium"	0.874544386090512	0.430618221503221	2.03090427301849	0.0472942117619264	1
"75 mg/kg vs 0 mg/kg"	"Erysipelotrichaceae UCG-009"	-1.30354558660322	0.732982341650629	-1.77841335668158	0.0810721103696185	1
"75 mg/kg vs 0 mg/kg"	"Proteus"	-1.10125198468292	0.530550798993059	-2.07567679998409	0.042791377043352	1
"75 mg/kg vs 0 mg/kg"	"DTU089"	-0.557176491068416	0.550909950893338	-1.01137489015204	0.316432145725428	1
"75 mg/kg vs 0 mg/kg"	"Anaeroplasma"	0.341515177312472	0.39259754061385	0.869886186190806	0.388285350256927	1
"75 mg/kg vs 0 mg/kg"	"Yaniella"	0.52633349355946	0.358390269523738	1.46860430741856	0.14785072464554	1
"75 mg/kg vs 0 mg/kg"	"CHKCI002"	-0.685406302293548	0.383588621516831	-1.78682646941725	0.0796851448580051	1
"75 mg/kg vs 0 mg/kg"	"Family XIII UCG-001"	-0.514028532347508	0.414993934764612	-1.23864107228234	0.220936452028823	1
"75 mg/kg vs 0 mg/kg"	"Aerococcus"	0.379707324892351	0.398244296600986	0.953453265076617	0.344688893265407	1
"75 mg/kg vs 0 mg/kg"	"Peptostreptococcus"	1.26596918333348	0.523611585723571	2.41776388806228	0.0190871911513184	1
"75 mg/kg vs 0 mg/kg"	"Pseudobutyrivibrio"	-1.73553382022997	0.734056956411213	-2.36430402991473	0.0217598700622954	1
"75 mg/kg vs 0 mg/kg"	"Family XIII AD3011 group"	-1.36934812791691	0.708688241243334	-1.93222922044608	0.058683918400287	1
"75 mg/kg vs 0 mg/kg"	"[Eubacterium] nodatum group"	-0.426876755106811	0.615148386953054	-0.693941111056492	0.490749646200411	1
"75 mg/kg vs 0 mg/kg"	"Catenibacillus"	-0.429721385730124	0.425317803197093	-1.01035362851009	0.316916432546462	1
"75 mg/kg vs 0 mg/kg"	"Alloiococcus"	2.20993734125781	0.515237468733918	4.28916271692786	7.63154317274244e-05	0.0614339225405767
"75 mg/kg vs 0 mg/kg"	"Erysipelotrichaceae UCG-002"	-0.384173962369532	0.534024764712348	-0.71939353332512	0.475058754119578	1
"75 mg/kg vs 0 mg/kg"	"[Ruminococcus] gauvreauii group"	-1.18243277320424	0.700263697155826	-1.68855358061082	0.0971812148510809	1
"75 mg/kg vs 0 mg/kg"	"Prevotella_7"	-0.66716429848801	0.656811305997677	-1.01576250651564	0.314357203690636	1
"75 mg/kg vs 0 mg/kg"	"Butyricimonas"	-0.65862158590714	0.647485627803727	-1.01719877264486	0.313679984433956	1
"75 mg/kg vs 0 mg/kg"	"Paraprevotella"	-0.134938717606901	0.415156224631291	-0.32503118007382	0.746437056170873	1
"75 mg/kg vs 0 mg/kg"	"Acetitomaculum"	-1.20046167257744	0.641036624400918	-1.87268812245998	0.0666320162771778	1
"75 mg/kg vs 0 mg/kg"	"Murdochiella"	0.759403489788576	0.413527212036196	1.83640512083665	0.0719089983701695	1
